actor_common.dies,dies.,死了。
actor_data.description.failed_reanimation,"This miserable thing was a failed attempt at the reanimation of dead flesh. Perhaps necrosis had advanced too far before the process started, or this was a wild experiment performed by one who lacked proper knowledge of the principles involved. It lumbers about aimlessly with a vacant expression, which gives it something of a calm appearance - although the twitch in its clawed fingers is something to be wary of.",这个可悲之物是复活动死肉的失败尝试。也许在过程开始前坏死已经推进太远，或许这只是某个缺乏相关原理知识者进行的狂野实验。它神情空洞地漫无目的蹒跚而行，因此显得有几分平静；然而它爪状手指的抽搐仍值得警惕。
actor_data.description.fire_beast,"Erupted from embers and ashes by nefarious wizardry, it has been endowed with animation in the form of a dreadful beast. Its breath exhales searing flames.",邪恶巫术从余烬与灰烬中爆燃出它，并赋予其可怖野兽的活动形态。它的吐息喷出灼热火焰。
actor_data.description.fire_hound,"Erupted from embers and ashes by nefarious wizardry, it has been endowed with animation in the form of a dreadful hound. Its breath exhales searing flames.",邪恶巫术从余烬与灰烬中爆燃出它，并赋予其可怖猎犬的活动形态。它的吐息喷出灼热火焰。
actor_data.description.fire_vortex,A spinning force of fire and destruction.,一股火焰与毁灭的旋转力量。
actor_data.description.floating_skull,A severed head floating through the air.,一颗在空中漂浮的断头。
actor_data.description.flying_polyp,"Flying polyps are a horrible elder race of half polypous, utterly alien entities. They are only partly material and have the power of aerial motion, despite the absence of wings. Their senses does not include sight, but what senses they have can penetrate all material obstructions. They are invulnerable to normal means of damage, though they can be destroyed by certain forms of electrical energy.",飞天水螅体是可怖的古老种族，半水螅状，彻底异质。它们只有部分物质形态，虽无翅膀却拥有空中运动能力。它们的感官并不包括视觉，但它们拥有的感官能够穿透一切物质阻碍。它们不受普通伤害影响，不过某些形式的电能可以摧毁它们。
actor_data.description.gas_spore,"A vaguely intelligent floating fungus-based organism. It contains a highly explosive gas and will detonate very easily, which it seems to desire.",一种略有智能、以真菌为基础的漂浮生物。它含有高度爆炸性的气体，极易引爆，而且它似乎正渴望如此。
actor_data.description.ghastly_light,"The freezing radiance emanating from this dancing flame provides no sense of comfort whatsoever - gazing upon it is disturbing to the very soul, and fills one with bitter hatred.",这团跃动火焰散发的冰冷辉光丝毫不能带来慰藉；凝视它会扰动灵魂深处，并使人充满苦涩仇恨。
actor_data.description.ghost,A restless spirit.,不安息的灵魂。
actor_data.description.ghoul,"A gaunt, bipedal predator bearing canine features. Dried blood mottles its snout and its claws are filthy with sodden earth and chunks of flesh.",一种瘦削的双足掠食者，带有犬类特征。干涸血迹斑驳在它的吻部，爪子沾满湿土与肉块。
actor_data.description.giant_bat,"An unknown species, perhaps stemming from some hidden bowels of the earth. It is about as tall as a full-grown human.",一种未知物种，或许来自地底某处隐秘深处。它几乎有一个成年人那么高。
actor_data.description.giant_mantis,A huge predatory insect.,一只巨大的掠食性昆虫。
actor_data.description.glasuu,"A loathsome beast hauling around a great sagging body on strained legs. Through its translucent, stretched skin the vile content of the creature's husk is clearly visible: carrion, human remains in various states of decomposition, trash, and sewage - along with other less recognizable things. Its head droops to the ground, where a tentacled mouth devours whatever filth it happens upon. It occasionally spews forth half-solid chunks of ooze, which after fermenting in the remarkable conditions of the creature's bowels, takes on a form of life of it's own - hunting for biological matter to decompose in order to feed its creator.",一种令人作呕的野兽，用紧绷的腿拖着巨大而下垂的身体。透过半透明且被撑薄的皮肤，可以清楚看见这具躯壳中的污秽内容：腐肉、各种腐烂阶段的人类残骸、垃圾、污水，以及其他更难辨认的东西。它的头垂到地面，触手状口器吞食所遇到的一切污物。它偶尔会喷出半固态的软泥块，这些东西在其肠道的奇异环境中发酵后，会获得某种自己的生命形态，猎取生物质并将其分解，以供养创造者。
actor_data.description.greater_polyp,"Flying polyps are a horrible elder race of half polypous, utterly alien entities. They are only partly material and have the power of aerial motion, despite the absence of wings. Their senses does not include sight, but what senses they have can penetrate all material obstructions. They are invulnerable to normal means of damage, though they can be destroyed by certain forms of electrical energy.",飞天水螅体是可怖的古老种族，半水螅状，彻底异质。它们只有部分物质形态，虽无翅膀却拥有空中运动能力。它们的感官并不包括视觉，但它们拥有的感官能够穿透一切物质阻碍。它们不受普通伤害影响，不过某些形式的电能可以摧毁它们。
actor_data.description.green_spider,An enormous green spider.,一只巨大的绿色蜘蛛。
actor_data.description.high_priest_guard_ghoul,"Vrka is a monstrous wolf-like creature dwelling in the High Priest's chambers, serving as a guardian.",弗尔卡是栖居在大祭司寝室中的狼形怪物，担任守卫。
actor_data.description.high_priest_guard_rogue,"Uraga is an undead master of deception and assassination, bound to guard the High Priest for all eternity.",乌拉加是不死的欺诈与暗杀大师，被束缚着永远守卫大祭司。
actor_data.description.high_priest_guard_war_vet,"Balastha is an undead master of arms and warfare, bound to guard the High Priest for all eternity. He is wielding a Tommy Gun.",巴拉斯塔是不死的武器与战争大师，被束缚着永远守卫大祭司。他手持一把汤姆森冲锋枪。
actor_data.description.hunting_horror,"A ropy, winged worm of vast size and vaporous composition. Brought forth from another plane of existence it drifts in endless search of sustenance, its maw hanging so agape it could swallow an ox whole.",一条绳索般、有翼、体型庞大且构成如烟雾的蠕虫。它被从另一存在位面召来，在无尽地寻找食粮；巨口张得如此之大，仿佛能将一头牛整只吞下。
actor_data.description.intestinal_mass,"A writhing, crawling mass of intestines.",一团扭动爬行的肠子。
actor_data.description.invis_stalker,A mysterious humanoid figure stalking for prey. It is invisible to normal eyes.,一个神秘的人形身影，潜伏猎食。普通眼睛看不见它。
actor_data.description.keziah_mason,"A shrivelled hag who croaks of deviltry and possesses knowledge beyond the ken of a sane mind. She reigns over the myriad man-rat hybrids crawling within the dungeon, humoring her most cherished like a child: not once does she deny it the black blood that flows inside her veins.",一个干瘪的老巫婆，嘎嘎谈论着魔鬼勾当，掌握着超出理智心智理解的知识。她统治着在地牢中爬行的无数人鼠混种，并像纵容孩子一样宠着自己最珍爱的那只：她从不拒绝让它饮用自己血管中流淌的黑血。
actor_data.description.khaga,"A vast, fully matured Khaga, the flight of this cryptic being conceals it from ordinary eyesight. It wails a disarmingly beautiful mantra which dissonates with the roar of the bolts it summons from its orb-like head.",一只庞大而完全成熟的卡伽；这种隐秘存在飞行时会使普通视力无法察觉它。它哀鸣出一种令人卸下戒备的美丽真言，与它从球状头部召来的雷霆轰鸣形成不谐。
actor_data.description.khaga_offspring,"Shifting in and out of sight, this creature resembles a piece of cloth sailing through the aether, seemingly folding time-space along with its dreamy soar. Atop its craned neck rests an oblong orb with which it conjures deadly bolts to heave onto any threat.",这生物时隐时现，像一块在以太中航行的布，梦幻般滑翔时似乎连同时间与空间一起折叠。它伸长的颈上顶着一颗椭圆球体，可借此召出致命雷矢投向任何威胁。
actor_data.description.khephren,The mummified fourth dynasty Egyptian pharaoh Khephren. How he came to dwell here is beyond anyone's guess.,第四王朝埃及法老卡夫拉的木乃伊。他为何会居于此处，没人能猜到。
actor_data.description.leng_doomweaver,"The webs spun by this transcendental creature are not of any mundane kind - weaving, plucking, gnawing, it taps directly into the fabric of fate, making baleful arrangements according to its ulterior whims.",这只超越凡俗的生物所织出的网绝非寻常之物；它编织、拨弄、啃噬，直接触及命运的织体，并按其隐秘恶意布置凶兆。
actor_data.description.leng_matriarch,"Ever watchful with leery eyes of insidious cunning, she fends for her brood as they stride between worlds through space and time.",她总以阴险狡黠的斜眼警戒四周，在她的族群穿越空间与时间、跨行于诸界之间时护卫它们。
actor_data.description.leng_spider,"Marred by a mass of purplish cysts, the hide of this beast has been distended to absurdity, rendering it the size of a cow. It weaves webs as quickly as it strides, and its jaws are thick with rank lather.",这野兽的皮肤被一团团紫色囊肿毁损，并膨胀到荒谬程度，使其体型如牛。它一边疾行一边迅速织网，颚间满是恶臭泡沫。
actor_data.description.leviathan,"The embodiment of chaos and terror. Its colossal body drags sickly through the vast hollows of the earth, corrupting the air with a hateful stench. By its breath it conjures the crushing waters of the deepest oceans and the wrathful thunder of the blackest storms.",混乱与恐怖的化身。它庞大的身躯病态地拖过地底空洞，以憎恨的恶臭污染空气。它以吐息召来深海最沉重的碾压之水，以及最黑风暴中的狂怒雷霆。
actor_data.description.locust,A huge swarming insect.,一只巨大的群居昆虫。
actor_data.description.major_clapham_lee,"Major Sir Eric Moreland Clapham-Lee was once a commanding officer during the Great War. Shortly after his plane was shot down, his body was stolen. Now he roams these halls as a resurrected warrior in service of the cult, commanding a squad of undead.",埃里克·莫兰德·克拉珀姆-李爵士少校曾是大战期间的一名指挥官。他的飞机被击落后不久，尸体便遭盗走。如今他作为邪教麾下的复生战士游荡于这些厅堂，指挥一队不死者。
actor_data.description.mi_go,"An amalgam of crustacean, insect and fungi whose droning voice resembles a swarm of maddened hornets. It employs an irregular set of appendages as limbs and is capable of making use of advanced technology.",一种甲壳、昆虫与真菌的混合体，嗡嗡的嗓音像一群疯狂黄蜂。它用一组不规则附肢作为肢体，并能使用先进技术。
actor_data.description.mi_go_bio_engineer,"A marvel of biological and technological symbiosis. The Mi-Go Bio Engineer harnesses intricate anatomical knowledge to remotely mend the wounds of its kin - through an intricate network of unseen tendrils, it channels healing energies, fostering rejuvenation from a distance. Cloaked in ethereal veils, it maneuvers undetected, an invaluable asset to the covert operations of the enigmatic Mi-Go.",生物与技术共生的奇迹。米戈生物工程师运用复杂的解剖知识，透过看不见的卷须网络远程修补同族创伤，将治疗能量导入其中，从远处促成再生。它披覆以太般的薄幕，无声无息地行动，是神秘米戈隐秘行动中极有价值的资产。
actor_data.description.mi_go_commander,"Part of a higher echelon of the Mi-Go, the buzz of this creature's commanding tone dims that of its insectoid wings. A protective bio-mechanical suit is fused to its carapace.",米戈更高阶层的一员；这生物命令般的嗡鸣压过了它昆虫翅膀的振声。保护性的生物机械服与它的甲壳融合在一起。
actor_data.description.mi_go_omega_sentinel,"The Omega Sentinel, a dreadful creation of the Mi-Go, stands as a testament to their technological mastery. Its chitinous form melds organic and mechanical elements seamlessly, emanating an aura of awe-inspiring terror. Armed with a devastating weapon, it guards the hidden operations of the Mi-Go with unwavering resolve.",欧米伽哨兵是米戈制造的可怖造物，证明了它们的技术造诣。它的几丁质形体将有机与机械元素无缝融合，散发令人敬畏的恐怖气息。它配备毁灭性武器，以坚定不移的决心守卫米戈隐秘行动。
actor_data.description.mind_leech,"A tentacled otherwordly creature, mysteriously floating through the air in a ghostly manner. They somehow sustain themselves on the brain activity of other beings. This will usually not kill the victim, but the experience is horrific beyond words. They only feed on sound minds however - a strange or chaotic mind will cause them great distress.",一种长着触手的异界生物，以幽灵般的方式神秘地漂浮在空中。它们似乎靠其他生物的脑活动维生。这通常不会杀死受害者，但体验恐怖得难以言说。然而它们只以健全心智为食，怪异或混乱的心智会使它们极度痛苦。
actor_data.description.mind_worm,A predacious worm about the size of an adult human's arm. Its bite causes heavy disorientation in the victim.,一种掠食性蠕虫，约有成年人手臂大小。它的咬击会使受害者严重迷乱。
actor_data.description.mirror_image,A living doppelganger of myself.,我自己的活体分身。
actor_data.description.mold,A sickly growth thriving in damp areas. It produces toxic spores which it stores in its slimy heads.,一种在潮湿地带繁盛的病态增生物。它会产生毒性孢子，并将其储存在黏滑的头部。
